Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
2002,France,0,1,Senegal
2002,Uruguay,1,2,Denmark
2002,Ireland,1,1,Cameroon
2002,Germany,8,0,Saudi Arabia
2002,Argentina,1,0,Nigeria
2002,Paraguay,2,2,South Africa
2002,England,1,1,Sweden
2002,Spain,3,1,Slovenia
2002,Brazil,2,1,Turkey
2002,Italy,2,0,Ecuador
2002,Croatia,0,1,Mexico
2002,China PR,0,2,Costa Rica
2002,Japan,2,2,Belgium
2002,Korea Republic,2,0,Poland
2002,Russia,2,0,Tunisia
2002,USA,3,2,Portugal
2002,Germany,1,1,Ireland
2002,Denmark,1,1,Senegal
2002,Cameroon,1,0,Saudi Arabia
2002,France,0,0,Uruguay
2002,Sweden,2,1,Nigeria
2002,Argentina,0,1,England
2002,Spain,3,1,Paraguay
2002,South Africa,1,0,Slovenia
2002,Brazil,4,0,China PR
2002,Italy,1,2,Croatia
2002,Costa Rica,1,1,Turkey
2002,Japan,1,0,Russia
2002,Mexico,2,1,Ecuador
2002,Korea Republic,1,1,USA
2002,Portugal,4,0,Poland
2002,Tunisia,1,1,Belgium
2002,Denmark,2,0,France
2002,Senegal,3,3,Uruguay
2002,Saudi Arabia,0,3,Ireland
2002,Cameroon,0,2,Germany
2002,Sweden,1,1,Argentina
2002,Nigeria,0,0,England
2002,Slovenia,1,3,Paraguay
2002,South Africa,2,3,Spain
2002,Costa Rica,2,5,Brazil
2002,Turkey,3,0,China PR
2002,Ecuador,1,0,Croatia
2002,Mexico,1,1,Italy
2002,Tunisia,0,2,Japan
2002,Portugal,0,1,Korea Republic
2002,Poland,3,1,USA
2002,Belgium,3,2,Russia
2002,Denmark,0,3,England
2002,Germany,1,0,Paraguay
2002,Spain,1,1,Ireland
2002,Sweden,1,2,Senegal
2002,Brazil,2,0,Belgium
2002,Mexico,0,2,USA
2002,Japan,0,1,Turkey
2002,Korea Republic,2,1,Italy
2002,England,1,2,Brazil
2002,Germany,1,0,USA
2002,Senegal,0,1,Turkey
2002,Spain,0,0,Korea Republic
2002,Germany,1,0,Korea Republic
2002,Brazil,1,0,Turkey
2002,Korea Republic,2,3,Turkey
2002,Germany,0,2,Brazil
2006,Germany,4,2,Costa Rica
2006,Poland,0,2,Ecuador
2006,England,1,0,Paraguay
2006,Trinidad and Tobago,0,0,Sweden
2006,Argentina,2,1,Ivory Coast
